"","lineage","i","k","j","min.sts","max.sts","length","lengthdays","c(NA, tmrca_all$size)","size","size_cat"
"15084","B.1",9,20,4,2020.2131147541,2020.34153005464,0.128415300546521,47.0000000000268,5,5,"3-5"
"15085","B.1",9,20,5,2020.33606557377,2020.41256830601,0.0765027322404421,28.0000000000018,3,3,"3-5"
"15086","B.1",9,20,6,2020.24043715847,2020.2650273224,0.0245901639343629,8.99999999997681,2,2,"2"
"15087","B.1",9,20,7,2020.24863387978,2020.3306010929,0.0819672131146945,29.9999999999782,4,4,"3-5"
"15088","B.1",9,20,8,2020.23224043716,2020.24863387978,0.0163934426229844,6.00000000001228,2,2,"2"
"15089","B.1",9,20,9,2020.45901639344,2020.46448087432,0.00546448087425233,1.99999999997635,2,2,"2"
"15090","B.1",9,20,10,2020.24863387978,2020.32240437158,0.073770491803316,27.0000000000136,5,5,"3-5"
"15091","B.1",9,20,11,2020.24043715847,2020.24863387978,0.0081967213113785,2.99999999996453,2,2,"2"
"15092","B.1",9,20,12,2020.19672131148,2020.57650273224,0.379781420765084,139.000000000021,174,174,"20+"
"15093","B.1",9,20,13,2020.1912568306,2020.48907103825,0.297814207650163,108.99999999996,153,153,"20+"
"15094","B.1",9,20,14,2020.22677595628,2020.31967213115,0.0928961748634265,34.0000000000141,8,8,"6-10"
"15095","B.1",9,20,15,2020.46448087432,2020.46448087432,0,0,2,2,"2"
"15096","B.1",9,20,16,2020.29234972678,2020.29234972678,0,0,4,4,"3-5"
"15097","B.1",9,20,17,2020.28415300546,2020.45901639344,0.174863387978121,63.9999999999923,97,97,"20+"
"15098","B.1",9,20,18,2020.2349726776,2020.3306010929,0.0956284153005527,35.0000000000023,3,3,"3-5"
"15099","B.1",9,20,19,2020.46994535519,2020.5737704918,0.103825136612159,38.00000000005,6,6,"6-10"
"15100","B.1",9,20,20,2020.22131147541,2020.24316939891,0.0218579234972367,7.99999999998863,3,3,"3-5"
"15101","B.1",9,20,21,2020.65300546448,2020.65300546448,0,0,2,2,"2"
"15102","B.1",9,20,22,2020.3606557377,2020.44808743169,0.0874316939889468,31.9999999999545,11,11,"11-20"
"15103","B.1",9,20,23,2020.58196721311,2020.60109289617,0.0191256830601105,7.00000000000045,2,2,"2"
"15104","B.1",9,20,24,2020.17759562842,2020.43989071038,0.262295081967295,96.00000000003,4,4,"3-5"
"15105","B.1",9,20,25,2020.48907103825,2020.61202185792,0.122950819672269,45.0000000000505,3,3,"3-5"
"15106","B.1",9,20,26,2020.45081967213,2020.63661202186,0.185792349726853,68.0000000000282,33,33,"20+"
"15107","B.1",9,20,27,2020.47540983607,2020.52732240437,0.0519125683058519,18.9999999999418,2,2,"2"
"15108","B.1",9,20,28,2020.48087431694,2020.48907103825,0.0081967213113785,2.99999999996453,5,5,"3-5"
"15109","B.1",9,20,29,2020.46994535519,2020.57650273224,0.106557377049285,39.0000000000382,2,2,"2"
"15110","B.1",9,20,30,2020.58469945355,2020.60109289617,0.0163934426229844,6.00000000001228,4,4,"3-5"
"15111","B.1",9,20,31,2020.4043715847,2020.43169398907,0.027322404371489,9.99999999996498,8,8,"6-10"
"15112","B.1",9,20,32,2020.45628415301,2020.46994535519,0.0136612021856308,4.99999999994088,2,2,"2"
"15113","B.1",9,20,33,2020.30327868852,2020.46994535519,0.166666666666515,60.9999999999445,32,32,"20+"
"15114","B.1",9,20,34,2020.32513661202,2020.40163934426,0.0765027322404421,28.0000000000018,5,5,"3-5"
"15115","B.1",9,20,35,2020.25956284153,2020.25956284153,0,0,2,2,"2"
"15116","B.1",9,20,36,2020.33879781421,2020.63661202186,0.297814207650163,108.99999999996,51,51,"20+"
"15117","B.1",9,20,37,2020.48907103825,2020.65846994536,0.169398907103869,62.0000000000159,3,3,"3-5"
"15118","B.1",9,20,38,2020.58469945355,2020.5956284153,0.010928961748732,4.00000000003593,2,2,"2"
"15119","B.1",9,20,39,2020.43442622951,2020.5956284153,0.161202185792263,58.9999999999682,11,11,"11-20"
"15120","B.1",9,20,40,2020.24863387978,2020.2650273224,0.0163934426229844,6.00000000001228,2,2,"2"
"15121","B.1",9,20,41,2020.42896174863,2020.43442622951,0.0054644808744797,2.00000000005957,2,2,"2"
"15122","B.1",9,20,42,2020.58196721311,2020.60655737705,0.0245901639345902,9.00000000006003,2,2,"2"
"15123","B.1",9,20,43,2020.48907103825,2020.60109289617,0.112021857923537,41.0000000000146,14,14,"11-20"
"15124","B.1",9,20,44,2020.48633879781,2020.59289617486,0.106557377049285,39.0000000000382,5,5,"3-5"
"15125","B.1",9,20,45,2020.24590163934,2020.28415300546,0.0382513661202211,14.0000000000009,4,4,"3-5"
"15126","B.1",9,20,46,2020.30054644809,2020.3087431694,0.0081967213113785,2.99999999996453,2,2,"2"
"15127","B.1",9,20,47,2020.31420765027,2020.32513661202,0.010928961748732,4.00000000003593,2,2,"2"
"15128","B.1",9,20,48,2020.23224043716,2020.2868852459,0.0546448087432054,20.0000000000132,6,6,"6-10"
"15129","B.1",9,20,49,2020.24863387978,2020.45901639344,0.210382513661216,77.000000000005,2,2,"2"
"15130","B.1",9,20,50,2020.3087431694,2020.3087431694,0,0,4,4,"3-5"
